ID,Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
353923763,Star Trek Online,PC,2010,Role-Playing,Atari,Cryptic Studios,T
259563144,Kingdom: Ikkitousen no Ken,PSP,2010,Action,Konami Digital Entertainment,,
537148104,Wrestle Kingdom 2: Pro Wrestling Sekai Taisen,PS2,2007,Fighting,Yuke's,,
332015667,RayCrisis: Series Termination,PS,1999,Shooter,JVC,Taito Corporation,E
694585959,Bomberman Story DS,DS,2007,Role-Playing,Rising Star Games,,
764908455,Anima - Gate of Memories,PS4,2016,Action,Avanquest,"Edge Entertainment, Anima Project",T
734803911,Ikki Tousen: Shining Dragon,PS2,2007,Role-Playing,Marvelous Interactive,,
774571234,Tom Clancy's Rainbow Six: Vegas 2,PC,2008,Shooter,Ubisoft,Ubisoft Montreal,M
871177534,Kimi ga Aruji de Shitsuji ga Ore de: Oshie Nikki,PS2,2008,Adventure,Minato Station,,
440106255,Toxic Grind,XB,2002,Sports,THQ,Blue Shift,T
558517571,Tropico 4: Modern Times,PC,2012,Strategy,Kalypso Media,Haemimont,T
250079708,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable,PSP,2011,Misc,Paon,,
196954459,ScrapLand,XB,2005,Action,Deep Silver,Mercury Steam,T
977099915,Enchanted Arms (JP sales),X360,2006,Role-Playing,Ubisoft,,
672773407,Utawarerumono: Futari no Hakuoro,PS3,2016,Misc,Aqua Plus,,
560401469,Geten no Hana,PSP,2013,Misc,Tecmo Koei,,
268183936,Harukanaru Toki no Naka de 3 with Izayoiki Aizouban,PSP,2009,Adventure,Tecmo Koei,,
305904603,Indianapolis 500 Evolution,X360,2009,Racing,Zushi Games,Destineer,E
787231107,Brothers in Arms: Hell's Highway,PC,2008,Shooter,Ubisoft,Gearbox Software,M
382188806,D.Gray-man: Sousha no Shikaku,PS2,2008,Adventure,Konami Digital Entertainment,,
979235174,Crazy Machines,Wii,2010,Puzzle,DTP Entertainment,FAKT Software,E
893032894,Ookami to Koushinryou: Omiowataru Kaze,DS,2009,Adventure,ASCII Media Works,,
450501770,DiRT,PC,2007,Racing,Codemasters,Codemasters,E
932976727,School Days LxH,PS2,2008,Adventure,Interchannel,,
728188150,IL-2 Sturmovik: Forgotten Battles,PC,2003,Simulation,Ubisoft,"1C, 1C Company",T
938003719,Serious Sam HD: Gold Edition,X360,2011,Shooter,Mastertronic,,
574831039,Big Idea's VeggieTales: LarryBoy and the Bad Apple,PS2,2006,Action,Crave Entertainment,,
286543730,Neo Angelique,PS2,2006,Adventure,Tecmo Koei,,
983352163,Psycho-Pass: Mandatory Happiness,PSV,2016,Adventure,Nippon Ichi Software,5pb,T
654831448,Namco Museum Battle Collection (JP sales),PSP,2005,Misc,Sony Computer Entertainment,,
663162351,Ceville,PC,2009,Action,Kalypso Media,Boxed Dream,E
953182731,Brandish: The Dark Revenant,PSP,2009,Role-Playing,Falcom Corporation,Falcom,T
740999794,Thomas and Friends: Steaming around Sodor,3DS,2015,Action,Avanquest Software,Avanquest Software,
130585330,Chaos;Head Noah,PSP,2010,Adventure,5pb,,
290123253,Summon Night: Swordcraft Story,GBA,2003,Role-Playing,Banpresto,Flight-Plan,E10+
871262954,Samurai Shodown V,XB,2006,Fighting,Ignition Entertainment,SNK,T
799377334,Falcon 4.0: Allied Force,PC,2005,Simulation,Graphsim Entertainment,Lead Pursuit,T
341425957,Minna no Chizu 2,PSP,2007,Misc,Zenrin,,
367086438,Pro Fishing Challenge,XB,2004,Sports,Atlus,Opus,E
587509553,Franklin's Great Adventures,DS,2006,Action,Game Factory,Neko Entertainment,E
976334600,Atelier Firis: The Alchemist of the Mysterious Journey,PSV,2016,Role-Playing,Tecmo Koei,,
906698447,Phoenix Wright: Ace Attorney Trilogy,3DS,2014,Adventure,Capcom,NATSUME ATARI Inc.,T
706763582,Princess Saver! Eternal Love for My Lady,PS2,2010,Adventure,Comfort,,
401249334,Jitsumei Jikkyou Keiba Dream Classic 2002,PS2,2002,Sports,Namco Bandai Games,,
221346828,Ice Age: Dawn of the Dinosaurs,PC,2009,Action,Activision,Activision,E10+
400706631,To Love-Ru Trouble: Darkness - True Princess,PSV,2015,Action,FuRyu,,
927796429,Tokyo Mew Mew,PS,2002,Role-Playing,Takara,,
404118304,Kawasaki Jet Ski,Wii,2008,Racing,Metro 3D,Data Design Interactive,E
402443185,Interactive Storybook DS Series 3,DS,2007,Misc,Tommo,Starfish SD,E
303439432,Twinkle * Crusaders GoGo!,PSP,2010,Adventure,ASCII Media Works,,
480818343,Moujuutsukai to Oujisama: Snow Bride Portable,PSP,2012,Adventure,Idea Factory,,
457579469,Rule of Rose,PS2,2006,Action,505 Games,"Punchline, Shirogumi",M
864895147,RedCard 20-03,GC,2002,Sports,Midway Games,Point of View,E
493768784,Bejeweled 2 Deluxe,PC,2006,Puzzle,Focus Home Interactive,PopCap,E
822398034,Freestyle Metal X,XB,2003,Racing,Midway Games,,
257739681,Captain Morgane and the Golden Turtle,PS3,2012,Adventure,Reef Entertainment,Wizarbox,
349003149,Shonen Jump's One Piece: Grand Adventure,PS2,2005,Fighting,Namco Bandai Games,,
331411316,Dino Dini's Kick Off Revival,PS4,2016,Sports,Avanquest,"The Digital Lounge, Dino Dini",
436616907,Pac-Man World Rally,PS2,2006,Racing,Namco Bandai Games,Smart Bomb Interactive,E
264791009,Winning Post 8 2015,PS3,2015,Action,Tecmo Koei,,
645526914,GT Legends,PC,2005,Racing,Atari,SimBin,E
972969678,Monster High 13 Wishes,WiiU,2013,Action,Little Orbit,Game Machine Studios,E
607983373,Ukiyo no Roushi,PSV,2015,Action,Unknown,,
873192765,Uta Kumi 575,PSV,2014,Misc,Sega,,
779433473,The Professor's Brain Trainer: Logic,DS,2005,Puzzle,505 Games,,
685607331,Street Fighter X Tekken,PC,2012,Fighting,Capcom,"Capcom, QLOC",T
433414676,Kung Fu Panda,PC,2008,Action,Activision,Beenox,E10+
717174224,428: Fuusa Sareta Shibuya de,PS3,2009,Adventure,Spike,,
410226307,Catan,DS,2009,Strategy,CDV Software Entertainment,,
583164592,Frontlines: Fuel of War,PC,2008,Shooter,THQ,Kaos Studios,T
216641083,Jewel Match 2,DS,2012,Puzzle,Easy Interactive,,
690069481,Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin,PSP,2010,Misc,D3Publisher,,
